[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_B/rigged_blight_necrolyte.glb
01:27:52 | INFO: Data are loaded, start creating Blender stuff
01:27:52 | INFO: Blender create Mesh node textured_mesh.obj
01:27:53 | INFO: glTF import finished in 1.27s
[turntable] normalized: raw height 1.40 m -> 1.75 m (scale 1.250)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:137.02M (Peak 137.02M) | Time:01:26.72 | Remaining:00:10.32 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 25/28
Fra:1 Mem:169.03M (Peak 217.03M) | Time:02:04.78 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Sample 28/28
Fra:1 Mem:169.03M (Peak 217.03M) | Time:02:04.78 | Mem:111.63M, Peak:111.63M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_blight_necrolyte_side.png'
Time: 02:05.31 (Saving: 00:00.52)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/previews/incoming/batch2/final_blight_necrolyte_side.png
Fra:1 Mem:25.52M (Peak 25.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:25.52M (Peak 25.52M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:28.17M (Peak 37.73M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:26.61M (Peak 37.73M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:42.61M (Peak 42.61M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:58.18M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:58.18M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:58.18M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:58.18M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:58.26M (Peak 90.63M) | Time:00:00.33 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
