[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/batch2_01_generated_from_glb__4_.glb
01:12:28 | INFO: Data are loaded, start creating Blender stuff
01:12:28 | INFO: Blender create Mesh node textured_mesh.obj
01:12:28 | INFO: glTF import finished in 0.27s
[turntable] normalized: raw height 1.31 m -> 1.75 m (scale 1.337)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.46 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.46 | Mem:32.62M, Peak:32.62M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.46 | Mem:32.62M, Peak:32.62M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.46 | Mem:33.23M, Peak:33.23M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.51 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.51 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Images
