[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/batch2_02_generated_from_image_glb.glb
01:17:00 | INFO: Data are loaded, start creating Blender stuff
01:17:00 | INFO: Blender create Mesh node textured_mesh.obj
01:17:01 | INFO: glTF import finished in 0.18s
[turntable] normalized: raw height 1.99 m -> 1.75 m (scale 0.880)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.88M, Peak:34.88M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.96M, Peak:34.96M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.96M, Peak:34.96M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.97M, Peak:34.97M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.97M, Peak:34.97M | Scene, ViewLayer | Updating Film
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.88M, Peak:34.97M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.97M, Peak:34.97M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.97M, Peak:34.97M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.97M, Peak:34.97M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:54.51M (Peak 84.92M) | Time:00:00.70 | Mem:34.97M, Peak:34.97M | Scene, ViewLayer | Sample 0/12
Fra:1 Mem:97.27M (Peak 97.27M) | Time:00:04.28 | Remaining:00:39.34 | Mem:77.73M, Peak:77.73M | Scene, ViewLayer | Sample 1/12
